date_visit,prefecture,n_stay,n_people,n_room,amount_fee,n_reserve
2023-10-01,群馬県,1,4,1,108760,1
2023-10-01,埼玉県,2,4,2,112800,2
2023-10-01,東京都,5,12,4,341370,5
2023-10-01,神奈川県,2,4,2,102850,2
2023-10-01,富山県,1,3,1,62670,1
2023-10-01,石川県,2,5,2,138490,2
2023-10-01,福井県,6,68,10,315700,7
2023-10-01,長野県,2,10,4,198350,2
2023-10-01,岐阜県,1,2,1,64800,1
2023-10-01,静岡県,6,84,18,1409550,6
2023-10-01,愛知県,9,26,9,732970,9
2023-10-01,三重県,2,5,2,104200,2
2023-10-01,滋賀県,2,7,3,194300,2
2023-10-01,京都府,1,2,1,34200,1
2023-10-01,大阪府,10,32,10,778220,10
2023-10-01,兵庫県,12,48,11,717240,6
2023-10-01,奈良県,2,2,1,149500,1
2023-10-01,和歌山県,2,4,2,93400,2
2023-10-01,島根県,2,4,2,88200,2
2023-10-01,岡山県,4,12,4,246000,4
2023-10-01,香川県,4,7,4,217064,4
2023-10-01,愛媛県,2,3,2,62200,2
2023-10-01,不明,159,383,71,6575283,145
2023-10-02,北海道,1,2,1,54640,1
2023-10-02,埼玉県,4,4,2,159000,2
2023-10-02,千葉県,1,1,1,51850,1
2023-10-02,東京都,5,10,3,252700,3
2023-10-02,富山県,3,8,3,179250,3
2023-10-02,石川県,1,2,1,55300,1
2023-10-02,福井県,10,29,10,787890,10
2023-10-02,岐阜県,2,4,2,108100,2
2023-10-02,静岡県,1,3,1,63150,1
2023-10-02,愛知県,9,21,8,455650,8
2023-10-02,三重県,2,5,2,136500,2
2023-10-02,滋賀県,2,11,3,245300,2
2023-10-02,大阪府,5,14,5,345850,5
2023-10-02,兵庫県,1,1,1,9000,1
2023-10-02,奈良県,3,6,3,161630,3
2023-10-02,和歌山県,2,6,2,111600,2
2023-10-02,広島県,1,2,1,53100,1
2023-10-02,徳島県,2,4,2,120000,2
2023-10-02,香川県,5,12,6,212000,5
2023-10-02,愛媛県,1,2,1,48000,1
2023-10-02,不明,92,236,58,5073253,68
2023-10-03,埼玉県,1,2,1,42500,1
2023-10-03,千葉県,1,2,1,46500,1
2023-10-03,東京都,1,6,2,72600,1
2023-10-03,神奈川県,2,5,2,149600,2
2023-10-03,新潟県,1,3,1,76700,1
2023-10-03,石川県,1,2,1,36000,1
2023-10-03,福井県,3,17,5,319350,3
2023-10-03,山梨県,1,1,1,43000,1
2023-10-03,岐阜県,2,5,2,98450,2
2023-10-03,静岡県,5,34,9,693150,5
2023-10-03,愛知県,4,12,4,330700,4
2023-10-03,三重県,2,5,3,73000,2
2023-10-03,滋賀県,1,4,1,93000,1
2023-10-03,京都府,3,9,4,211800,3
2023-10-03,大阪府,6,44,4,505040,4
2023-10-03,兵庫県,9,26,10,642000,7
2023-10-03,和歌山県,1,2,1,50400,1
2023-10-03,島根県,2,4,2,135500,2
2023-10-03,岡山県,2,4,3,114000,2
2023-10-03,香川県,1,2,1,44000,1
2023-10-03,愛媛県,3,5,3,85000,3
2023-10-03,福岡県,1,2,2,70000,1
2023-10-03,熊本県,2,9,2,162000,2
2023-10-03,大分県,1,2,1,38000,1
2023-10-03,鹿児島県,1,2,1,34000,1
2023-10-03,不明,116,230,46,5029796,92
2023-10-04,群馬県,1,4,2,88380,1
2023-10-04,東京都,2,19,14,665490,2
2023-10-04,富山県,2,5,2,103150,2
2023-10-04,福井県,6,24,6,448000,6
2023-10-04,岐阜県,3,6,3,141060,3
2023-10-04,愛知県,5,21,6,461250,5
2023-10-04,滋賀県,2,4,2,111900,2
2023-10-04,京都府,1,2,1,72900,1
2023-10-04,大阪府,5,10,5,293570,5
2023-10-04,兵庫県,3,18,5,350545,3
2023-10-04,奈良県,1,2,1,41400,1
2023-10-04,和歌山県,1,4,2,116000,1
2023-10-04,島根県,1,1,1,13500,1
2023-10-04,岡山県,3,8,3,166400,3
2023-10-04,徳島県,1,4,1,68000,1
2023-10-04,愛媛県,1,4,1,72000,1
2023-10-04,熊本県,1,2,1,44000,1
2023-10-04,不明,102,300,41,5535308,83
2023-10-05,福島県,1,2,1,68500,1
2023-10-05,埼玉県,1,2,1,40010,1
2023-10-05,東京都,5,26,11,853800,3
2023-10-05,神奈川県,1,4,1,106200,1
2023-10-05,新潟県,1,5,1,68850,1
2023-10-05,富山県,2,9,2,264650,2
2023-10-05,福井県,3,21,6,347150,3
2023-10-05,山梨県,1,2,1,94900,1
2023-10-05,静岡県,4,15,5,404600,4
2023-10-05,愛知県,5,10,5,217600,5
2023-10-05,三重県,8,17,7,485970,6
2023-10-05,滋賀県,4,31,10,671700,4
2023-10-05,京都府,1,2,1,59700,1
2023-10-05,大阪府,14,31,11,835750,10
2023-10-05,兵庫県,11,27,9,768450,9
2023-10-05,奈良県,1,2,1,34200,1
2023-10-05,和歌山県,1,2,1,92700,1
2023-10-05,島根県,2,1,1,13500,1
2023-10-05,岡山県,2,4,1,75600,1
2023-10-05,広島県,1,2,1,57500,1
2023-10-05,徳島県,2,8,2,125580,2
2023-10-05,愛媛県,1,2,1,34200,1
